epoch,Ahegao_f1-score,Ahegao_precision,Ahegao_recall,Ahegao_support,Angry_f1-score,Angry_precision,Angry_recall,Angry_support,Happy_f1-score,Happy_precision,Happy_recall,Happy_support,Neutral_f1-score,Neutral_precision,Neutral_recall,Neutral_support,Sad_f1-score,Sad_precision,Sad_recall,Sad_support,Surprise_f1-score,Surprise_precision,Surprise_recall,Surprise_support,acc,dropout,dropout_global,dump_param,eta,experiment_id,f1_score,l2,loss,lr,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,micro avg_f1-score,micro avg_precision,micro avg_recall,micro avg_support,precision,recall,samples avg_f1-score,samples avg_precision,samples avg_recall,samples avg_support,top_3_categorical_acc,train_batch,trainable_layers,val_acc,val_f1_score,val_loss,val_precision,val_recall,val_top_3_categorical_acc,valid_batch,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support
0,0.21252869793374876,0.118986412045538,0.9938650306748467,326,0.0,0.0,0.0,369,0.0,0.0,0.0,1061,0.0,0.0,0.0,1056,0.0,0.0,0.0,1037,0.0,0.0,0.0,335,0.15895147915000832,0.672064368331869,0.17794264526474873,0.45529711891163965,0.006268107917252983,673,0.07380151149215247,0.6792918131268323,categorical_crossentropy,0.006268108,0.03542144965562479,0.019831068674256335,0.16564417177914112,4184,0.09381786593311134,0.118986412045538,0.07743785850860421,4184,0.4789942688946135,0.040873238095752024,0.07743785850860421,0.07743785850860421,0.07743785850860421,4184,0.6197912519732829,40,25,0.12332695984703633,0.09516800187855788,4.6168264868610445,0.12663968973018472,0.07743785850860421,0.35826959847036327,16,0.016559358395411592,0.009270929810431497,0.07743785850860421,4184
1,0.7194492254733219,0.8196078431372549,0.6411042944785276,326,0.0,0.0,0.0,369,0.0,0.0,0.0,1061,0.0,0.0,0.0,1056,0.0,0.0,0.0,1037,0.0,0.0,0.0,335,0.17783443649331276,0.672064368331869,0.17794264526474873,0.45529711891163965,0.006268107917252983,673,0.1001036779230956,0.6792918131268323,categorical_crossentropy,0.006268108,0.11990820424555365,0.13660130718954247,0.10685071574642126,4184,0.09416535255688217,0.8196078431372549,0.04995219885277247,4184,0.6488444578998089,0.05513505014933663,0.04995219885277247,0.04995219885277247,0.04995219885277247,4184,0.650625447530346,40,25,0.17590822179732313,0.09432114424258756,1.8289820103982666,0.5334607659060914,0.05305927342256214,0.6880975143403442,16,0.056056512309823836,0.06386045814119147,0.04995219885277247,4184
2,0.7571234735413839,0.6788321167883211,0.8558282208588958,326,0.0,0.0,0.0,369,0.0,0.0,0.0,1061,0.0,0.0,0.0,1056,0.0,0.0,0.0,1037,0.0,0.0,0.0,335,0.1874751025875691,0.672064368331869,0.17794264526474873,0.45529711891163965,0.006268107917252983,673,0.11907846064417878,0.6792918131268323,categorical_crossentropy,0.006268108,0.12618724559023065,0.11313868613138685,0.14263803680981596,4184,0.12143634385201307,0.6788321167883211,0.06668260038240918,4184,0.6664390234811953,0.06684726448887687,0.06668260038240918,0.06668260038240918,0.06668260038240918,4184,0.6683132805849734,40,25,0.17327915869980878,0.11941051383433333,1.743512046040814,0.5617271873736701,0.06907265774378585,0.6952676864244742,16,0.058991934123922354,0.05289179495052406,0.06668260038240918,4184
3,0.6195426195426197,0.9612903225806452,0.4570552147239264,326,0.0,0.0,0.0,369,0.0,0.0,0.0,1061,0.0,0.0,0.0,1056,0.0,0.0,0.0,1037,0.3993399339933994,0.44649446494464945,0.3611940298507463,335,0.19990439097887586,0.672064368331869,0.17794264526474873,0.45529711891163965,0.006268107917252983,673,0.1382699241942879,0.6792918131268323,categorical_crossentropy,0.006268108,0.16981375892266984,0.23463079792088246,0.13637487409577878,4184,0.11713665943600868,0.6338028169014085,0.06453154875717017,4184,0.6688971075154179,0.07911720335763742,0.06453154875717017,0.06453154875717017,0.06453154875717017,4184,0.6792287461910198,40,25,0.17925430210325047,0.11014615252870447,1.762834501995867,0.5087316522292835,0.06381453154875717,0.7043499043977055,16,0.08024612138113835,0.11064920911036039,0.06453154875717017,4184
4,0.7679222357229647,0.635814889336016,0.9693251533742331,326,0.0,0.0,0.0,369,0.0,0.0,0.0,1061,0.0,0.0,0.0,1056,0.0,0.0,0.0,1037,0.2663358147229115,0.18421052631578946,0.48059701492537316,335,0.22332881849801414,0.672064368331869,0.17794264526474873,0.45529711891163965,0.006268107917252983,673,0.16158404357214295,0.6792918131268323,categorical_crossentropy,0.006268108,0.17237634174097938,0.13667090260863426,0.24165369471660103,4184,0.17173717371737174,0.3479212253829322,0.1140057361376673,4184,0.5764401757368556,0.09744243636524313,0.1140057361376673,0.1140057361376673,0.1140057361376673,4184,0.7062385475699166,40,25,0.1885755258126195,0.162902227152374,2.072365172050651,0.3044539847576823,0.11496175908221798,0.6730401529636711,16,0.08115801787233792,0.06428924001896048,0.1140057361376673,4184
5,0.8835725677830941,0.920265780730897,0.8496932515337423,326,0.3867069486404834,0.43686006825938567,0.34688346883468835,369,0.0,0.0,0.0,1061,0.0,0.0,0.0,1056,0.0,0.0,0.0,1037,0.5214007782101168,0.38672438672438675,0.8,335,0.28173053939450204,0.672064368331869,0.17794264526474873,0.45529711891163965,0.006268107917252983,673,0.20219458552833838,0.6792918131268323,categorical_crossentropy,0.006268108,0.298613382438949,0.29064170595244493,0.33276278672807175,4184,0.24602449278011332,0.5229215229215229,0.16085086042065008,4184,0.5504305639520374,0.12740020838717275,0.16085086042065008,0.16085086042065008,0.16085086042065008,4184,0.7749183323789656,40,25,0.24737093690248566,0.233831217594402,2.6586366734586755,0.4933199853445786,0.15822179732313577,0.7624282982791587,16,0.14469617156931552,0.14119519102740327,0.16085086042065008,4184
6,0.7664670658682635,0.6286836935166994,0.9815950920245399,326,0.11471321695760597,0.71875,0.06233062330623306,369,0.0,0.0,0.0,1061,0.0,0.0,0.0,1056,0.0,0.0,0.0,1037,0.21004566210045664,0.44660194174757284,0.1373134328358209,335,0.30077284642181856,0.672064368331869,0.17794264526474873,0.45529711891163965,0.006268107917252983,673,0.20639284292275892,0.6792918131268323,categorical_crossentropy,0.006268108,0.18187099082105437,0.299005939210712,0.19687319136109896,4184,0.16114333057166533,0.6040372670807453,0.09297323135755259,4184,0.540683226037924,0.13106525506230335,0.09297323135755259,0.09297323135755259,0.09297323135755259,4184,0.8043980568198604,40,25,0.2872848948374761,0.14758414474545656,2.3336378561607054,0.5184512338378461,0.08938814531548757,0.8130975143403442,16,0.08665457393261557,0.14813128216345148,0.09297323135755259,4184
7,0.8523206751054853,0.787012987012987,0.9294478527607362,326,0.38010657193605685,0.5515463917525774,0.2899728997289973,369,0.0,0.0,0.0,1061,0.0,0.0,0.0,1056,0.0,0.0,0.0,1037,0.46137566137566144,0.35737704918032787,0.6507462686567164,335,0.32873874637375083,0.672064368331869,0.17794264526474873,0.45529711891163965,0.006268107917252983,673,0.22823127590843467,0.6792918131268323,categorical_crossentropy,0.006268108,0.28230048473620056,0.28265607132431536,0.3116945035244083,4184,0.23376139959054532,0.528174936921783,0.15009560229445507,4184,0.565203786772491,0.14580511616911132,0.15009560229445507,0.15009560229445507,0.15009560229445507,4184,0.8290176092699775,40,25,0.36687380497131933,0.21913311768672206,2.4135596036455143,0.5548089495352532,0.14125239005736137,0.8783460803059273,16,0.13687301904628102,0.13857747700725254,0.15009560229445507,4184
8,0.734225621414914,0.9746192893401016,0.588957055214724,326,0.48773448773448774,0.5216049382716049,0.45799457994579945,369,0.0,0.0,0.0,1061,0.0,0.0,0.0,1056,0.0,0.0,0.0,1037,0.44155844155844154,0.5833333333333334,0.35522388059701493,335,0.3407696592538027,0.672064368331869,0.17794264526474873,0.45529711891163965,0.006268107917252983,673,0.23647136287915832,0.6792918131268323,categorical_crossentropy,0.006268108,0.2772530917846405,0.34659292682417336,0.23369591929292308,4184,0.1955591770217967,0.6620689655172414,0.1147227533460803,4184,0.5694178155566314,0.15233846031810247,0.1147227533460803,0.1147227533460803,0.1147227533460803,4184,0.8421639713924934,40,25,0.3338910133843212,0.1602874630153977,2.915050993913902,0.5875079549179478,0.09584130019120458,0.8324569789674953,16,0.13557687774315627,0.16864597925759128,0.1147227533460803,4184
9,0.8743882544861338,0.9337979094076655,0.8220858895705522,326,0.437125748502994,0.4882943143812709,0.3956639566395664,369,0.0,0.0,0.0,1061,0.0,0.0,0.0,1056,0.0,0.0,0.0,1037,0.5099009900990099,0.4355179704016913,0.6149253731343284,335,0.3441956809826291,0.672064368331869,0.17794264526474873,0.45529711891163965,0.006268107917252983,673,0.23322152301197782,0.6792918131268323,categorical_crossentropy,0.006268108,0.30356916551468965,0.3096016990317713,0.3054458698907412,4184,0.23650581728018308,0.5854579792256847,0.14818355640535372,4184,0.5561652887903754,0.15010756223802596,0.14818355640535372,0.14818355640535372,0.14818355640535372,4184,0.844713569789206,40,25,0.369980879541109,0.2211746244369,2.0641297268366037,0.5689990604812739,0.14292543021032506,0.877868068833652,16,0.14750640627228792,0.15069245711236964,0.14818355640535372,4184
